Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Ahri,Middle,51.30%,3.98%,0.26%,7.55,6.64,5.43,7.67,8,20218,18691,3607,159.9,0.98,3.1,11123,8,3
2,Akali,Middle,47.49%,4.15%,1.43%,7.93,8.52,6.13,5.33,12,20396,25289,7714,158.1,1.35,2.78,11443,21,20
3,Anivia,Middle,49.11%,0.72%,0.06%,8.01,5.68,4.78,7.21,8,18165,24172,4083,174.7,2.67,9.34,11417,32,5
4,Annie,Middle,52.32%,1.41%,0.11%,4.75,7.35,6.17,7.41,9,21816,18235,2237,156.4,1.23,3.5,11360,17,3
5,Aurelion Sol,Middle,50.39%,0.60%,0.02%,5.67,5.65,5.41,8.29,7,18144,21842,4061,152.3,1.27,4.19,10276,42,4
6,Azir,Middle,45.41%,1.16%,0.04%,4.04,5.85,6.15,6.57,8,19756,19193,2331,179.4,2.04,7.82,11560,46,1
7,Cassiopeia,Middle,51.08%,1.71%,0.50%,5.29,6.67,6.15,6.09,9,20407,23280,7672,177.2,2.92,9.04,11729,23,5
8,Cho'Gath,Middle,51.28%,0.27%,0.06%,5.7,7.3,6.01,6.81,6,19338,28940,6944,163.8,1.95,5.17,11573,30,4
9,Corki,Middle,48.52%,0.82%,0.03%,4.93,7.42,6.08,6.81,9,23745,21056,2879,184.6,3.15,9.62,12498,15,7
10,Diana,Middle,50.44%,1.91%,0.56%,5.21,7.42,6.63,6.4,8,20823,22183,3890,161.6,3.46,7.79,11799,26,7
11,Ekko,Middle,49.57%,2.08%,1.78%,7.08,7.45,5.81,6.23,9,20057,27124,8418,163.8,1.9,4.49,11650,18,9
12,Fizz,Middle,50.60%,2.41%,1.22%,6,8.71,5.86,5.91,9,19003,22072,3726,154.7,1.3,3.47,11700,11,3
13,Galio,Middle,52.03%,2.33%,0.35%,6.29,5.18,5.41,10.11,7,17338,22051,2014,152.6,0.96,2.6,10447,28,5
14,Heimerdinger,Middle,50.12%,0.37%,0.05%,7.1,5.35,6.23,7.14,9,24946,17713,2335,165.8,1.32,3.45,11214,34,8
15,Irelia,Middle,45.62%,1.51%,0.79%,21.8,7.75,7.17,5.27,9,19087,28120,7054,195.4,2.8,4.36,12549,33,2
16,Jayce,Middle,48.49%,0.33%,0.10%,9.53,7.57,6.26,7.03,7,22581,20084,2782,174.9,2.93,7.34,12183,25,0
17,Kassadin,Middle,51.22%,2.57%,2.50%,5.19,8.14,5.49,5.34,10,20547,25562,7613,169.5,2.79,7.8,11820,3,1
18,Katarina,Middle,49.76%,2.58%,0.74%,7.14,9.42,6.79,6.21,10,20680,24607,6935,152.4,1.17,2.46,11866,14,7
19,Kog'Maw,Middle,48.28%,0.25%,0.03%,10.77,7.14,6.02,6.83,7,26117,17548,1476,188.1,1.94,8.87,12195,16,11
20,LeBlanc,Middle,47.21%,2.29%,0.76%,5.78,7.54,5.28,6.56,7,19303,20669,4241,143.2,1.31,4.28,10904,38,2
21,Lissandra,Middle,48.86%,0.98%,0.06%,3.91,5.91,6.18,8.84,8,19763,20371,2875,168.5,1.28,4.06,11167,37,4
22,Lux,Middle,52.06%,2.08%,0.63%,5.63,6.34,5.3,9.31,7,21150,14273,1132,157.5,0.97,3.41,11079,7,10
23,Malzahar,Middle,51.87%,1.27%,0.32%,7.51,5.05,5.61,7.94,7,20293,15801,1127,186.9,1.81,5.34,11747,20,12
24,Neeko,Middle,51.23%,1.05%,0.05%,NaN,6.23,6.03,7.96,7,19850,18703,2301,158.6,1.52,4.01,11086,31,13
25,Orianna,Middle,50.41%,3.20%,0.13%,6.83,5.56,5.37,9.16,7,19363,16743,1681,177.4,1.92,7.82,11384,12,2
